player_name,player_id,season,injury,from,until,days_missed,games_missed,age,dob,nationality_id,nationality_name,club_name,league_id,league_name,overall,value_eur,wage_eur,height_cm,weight_kg,club_position,fifa_update_date,short_name,long_name,combined_name,preferred_foot,work_rate,body_type,pace,month,injury_category,position_category,total_days_missed,injury_count
Juan Musso,242359,22/23,Ankle sprain,2022-12-26,2023-01-09,14,2,28,1994-05-06,52,Argentina,Atalanta,31,Serie A,81,20500000,47000,191,93,GK,2022-09-01,J. Musso,Juan Agustín Musso,Juan Musso,Right,Medium/Medium,Normal (185+),NA,Dec,joint and ligament injuries,goalkeepers,55,3
Juanmi,126737,22/23,Torn ankle ligaments,2022-09-09,2022-12-27,109,15,29,1993-05-20,45,Spain,Real Betis,53,La Liga,79,17000000,30000,172,69,LM,2022-09-01,NA,Juan Miguel Jiménez López,Juan NA,Right,Medium/Medium,Lean (170-185),76,Sep,joint and ligament injuries,midfielders,109,1
Juhani Ojala,88257,21/22,Knee injury,2021-11-06,2021-12-13,37,6,32,1989-06-19,17,Finland,Motherwell,50,Premiership,63,300000,2000,191,83,SUB,2021-08-16,J. Ojala,Juhani Lauri Henrik Ojala,Juhani Ojala,Right,Medium/Medium,Normal (185+),34,Nov,joint and ligament injuries,other,42,2
Jules Kounde,411975,22/23,muscular problems,2022-10-30,2022-11-14,15,3,23,1998-11-12,18,France,FC Barcelona,53,La Liga,84,57500000,150000,181,75,RCB,2022-09-01,J. Koundé,Jules Koundé,Jules Koundé,Right,High/High,Normal (170-185),84,Oct,muscle injuries,defenders,37,2
Julian Albrecht,392149,21/22,Ligament injury,2022-04-30,2022-05-13,13,2,19,2001-08-31,21,Germany,Hertha BSC,19,Bundesliga,57,400000,3000,182,78,RES,2021-08-16,J. Albrecht,Julian Albrecht,Julian Albrecht,Right,Medium/Medium,Lean (170-185),52,Apr,joint and ligament injuries,other,37,3
Julian Alvarez,576024,22/23,Ill,2022-03-04,2022-03-06,2,1,22,2000-01-31,52,Argentina,Manchester City,13,Premier League,78,32000000,100000,173,71,SUB,2022-09-01,J. Álvarez,Julián Álvarez,Julián Álvarez,Right,High/High,Normal (170-185),76,Mar,illnesses and infections,other,2,1
Julian Baas,616340,22/23,unknown injury,2023-01-26,2023-02-01,6,1,20,2002-04-16,34,Netherlands,Excelsior,10,Eredivisie,65,1600000,2000,183,80,LDM,2022-09-01,J. Baas,Julian Baas,Julian Baas,Right,Medium/Medium,Normal (170-185),71,Jan,unknown injuries,midfielders,6,1
Julian Baumgartlinger,34787,22/23,Meniscus injury,2023-04-29,2023-06-30,62,5,34,1988-01-02,4,Austria,FC Augsburg,19,Bundesliga,76,2600000,25000,181,85,SUB,2022-09-26,J. Baumgartlinger,Julian Baumgartlinger,Julian Baumgartlinger,Right,Medium/High,Normal (170-185),54,Apr,joint and ligament injuries,other,250,2
Julian Brandt,187492,22/23,Torn muscle fiber,2023-03-08,2023-03-29,21,4,26,1996-05-02,21,Germany,Borussia Dortmund,19,Bundesliga,82,40000000,60000,185,83,SUB,2022-09-01,J. Brandt,Julian Brandt,Julian Brandt,Right,High/Medium,Normal (185+),67,Mar,muscle injuries,other,64,5
Julian Chabot,303219,22/23,Ankle injury,2022-08-29,2022-10-31,63,13,24,1998-02-12,21,Germany,FC Köln,19,Bundesliga,70,2200000,9000,195,85,SUB,2022-09-01,J. Chabot,Julian Chabot,Julian Chabot,Left,Medium/Medium,Normal (185+),34,Aug,joint and ligament injuries,other,73,2
Julian Draxler,85148,22/23,Ankle surgery,2023-02-19,2023-05-31,101,17,28,1993-09-20,21,Germany,Paris Saint Germain,16,Ligue 1,79,17500000,88000,187,77,RES,2022-09-01,J. Draxler,Julian Draxler,Julian Draxler,Right,Medium/Medium,Lean (185+),72,Feb,surgeries,other,361,7
Julian Green,161204,21/22,Back injury,2022-01-20,2022-01-24,4,1,26,1995-06-06,95,United States,SpVgg Greuther Fürth,19,Bundesliga,71,2200000,15000,173,70,CAM,2021-08-16,J. Green,Julian Green,Julian Green,Right,Medium/Low,Lean (170-185),74,Jan,back injuries,midfielders,4,1
Julian Jeanvier,134277,22/23,horse kiss,2023-02-02,2023-02-20,18,4,29,1993-03-31,118,Guinea,Auxerre,16,Ligue 1,70,1300000,10000,185,84,LCB,2022-09-01,J. Jeanvier,Julian Jeanvier,Julian Jeanvier,Right,Medium/Medium,Stocky (185+),63,Feb,back injuries,defenders,55,2
Julian Pollersbeck,228975,22/23,Knee surgery,2022-09-05,2023-01-05,122,12,27,1994-08-16,21,Germany,Olympique Lyonnais,16,Ligue 1,70,1700000,21000,195,87,RES,2022-09-01,J. Pollersbeck,Julian Pollersbeck,Julian Pollersbeck,Right,Medium/Medium,Lean (185+),NA,Sep,surgeries,other,122,1
Julian Ryerson,370789,22/23,Eye injury,2023-02-24,2023-02-28,4,1,24,1997-11-17,36,Norway,FC Union Berlin,19,Bundesliga,72,3100000,16000,183,86,SUB,2022-09-01,J. Ryerson,Julian Ryerson,Julian Ryerson,Right,Medium/Medium,Normal (170-185),70,Feb,head and neck injuries,other,31,6
Julian Weigl,196792,22/23,bruise,2023-05-22,2023-05-26,4,NA,26,1995-09-08,21,Germany,Borussia Mönchengladbach,19,Bundesliga,79,20500000,17000,187,80,RDM,2022-09-26,J. Weigl,Julian Weigl,Julian Weigl,Right,Low/Medium,Lean (185+),59,May,bruises and contusions,midfielders,52,2
Julien Laporte,386057,22/23,Knee surgery,2023-02-03,2023-04-30,86,13,28,1993-11-04,18,France,Lorient,16,Ligue 1,73,2900000,15000,185,82,RCB,2022-09-01,J. Laporte,Julien Laporte,Julien Laporte,Right,Medium/Medium,Normal (185+),44,Feb,surgeries,defenders,109,2
Julien Le Cardinal,794349,22/23,Knee injury,2023-03-31,2023-04-13,13,2,24,1997-08-03,18,France,Lens,16,Ligue 1,68,1700000,10000,182,73,SUB,2022-12-06,J. Le Cardinal,Julien Le Cardinal,Julien Le Cardinal,Right,Medium/Medium,Normal (170-185),69,Mar,joint and ligament injuries,other,22,2
Junior Firpo,374139,22/23,Knee injury,2022-07-08,2022-09-12,66,7,25,1996-08-22,45,Spain,Leeds United,13,Premier League,75,7000000,31000,184,78,LB,2022-09-01,NA,Héctor Junior Firpo Adamés,Héctor NA,Left,Medium/Medium,Lean (170-185),75,Jul,joint and ligament injuries,defenders,126,3
Junior Messias,449151,22/23,Adductor pain,2023-05-12,2023-05-16,4,2,31,1991-05-13,54,Brazil,Milan,31,Serie A,78,11500000,65000,179,70,SUB,2022-09-01,NA,Junior Walter Messias,Junior NA,Left,High/Medium,Lean (170-185),84,May,muscle injuries,other,162,6
Juraj Kucka,74943,21/22,minor knock,2022-06-09,2022-06-13,4,2,34,1987-02-26,43,Slovakia,Watford,13,Premier League,77,4900000,33000,186,84,SUB,2021-08-16,J. Kucka,Juraj Kucka,Juraj Kucka,Right,High/Medium,Normal (185+),58,Jun,bruises and contusions,other,14,2
Jure Balkovec,181410,22/23,stomach problems,2023-03-18,2023-03-20,2,1,27,1994-09-09,44,Slovenia,Alanyaspor,68,Super Lig,71,2000000,13000,185,74,LCB,2022-09-01,J. Balkovec,Jure Balkovec,Jure Balkovec,Left,High/Medium,Normal (185+),72,Mar,miscellaneous,defenders,12,2
Jurgen Ekkelenkamp,361068,21/22,Corona virus,2022-02-20,2022-02-24,4,1,21,2000-04-05,34,Netherlands,Ajax,10,Eredivisie,70,3600000,7000,188,75,SUB,2021-08-16,J. Ekkelenkamp,Jurgen Ekkelenkamp,Jurgen Ekkelenkamp,Right,Medium/Medium,Normal (185+),63,Feb,coronavirus,other,4,1
Jurgen Locadia,166240,21/22,Ill,2022-05-12,2022-05-19,7,1,27,1993-11-07,34,Netherlands,Brighton & Hove Albion,13,Premier League,71,2200000,35000,185,87,RES,2021-08-16,J. Locadia,Jürgen Locadia,Jürgen Locadia,Right,High/Medium,Normal (185+),70,May,illnesses and infections,other,60,4
Jurrien Timber,420243,22/23,Ill,2023-01-11,2023-01-13,2,1,21,2001-06-17,34,Netherlands,Ajax,10,Eredivisie,80,44500000,14000,179,77,RCB,2022-09-01,J. Timber,Jurriën David Norman Timber,Jurriën Timber,Right,High/Medium,Normal (170-185),82,Jan,illnesses and infections,defenders,47,6
Justin Bakker,313729,21/22,Corona virus,2022-02-16,2022-02-22,6,1,23,1998-03-03,34,Netherlands,Go Ahead Eagles,10,Eredivisie,62,825000,1000,189,74,SUB,2021-08-16,J. Bakker,Justin Bakker,Justin Bakker,Left,Medium/High,Normal (185+),66,Feb,coronavirus,other,6,1
Justin Bijlow,315121,22/23,Wrist fracture,2023-02-03,2023-04-12,68,16,24,1998-01-22,34,Netherlands,Feyenoord,10,Eredivisie,79,22500000,9000,188,76,GK,2022-09-01,J. Bijlow,Justin Bijlow,Justin Bijlow,Right,Medium/Medium,Normal (185+),NA,Feb,bone injuries,goalkeepers,176,6
Justin Che,796429,22/23,muscular problems,2023-02-23,2023-04-06,42,5,18,2003-11-18,95,United States,TSG Hoffenheim,19,Bundesliga,66,2100000,700,185,79,SUB,2022-09-01,J. Che,Justin Che,Justin Che,Right,High/High,Normal (185+),73,Feb,muscle injuries,other,63,2
Justin Heekeren,453770,22/23,Cruciate ligament tear,2023-01-09,2023-08-13,216,22,21,2000-11-27,21,Germany,Schalke 04,19,Bundesliga,63,925000,2000,194,86,RES,2022-09-01,J. Heekeren,Justin Heekeren,Justin Heekeren,Right,Medium/Medium,Normal (185+),NA,Jan,joint and ligament injuries,other,216,1
Justin Hoogma,411287,21/22,Ill,2022-02-03,2022-02-08,5,1,23,1998-06-11,34,Netherlands,SpVgg Greuther Fürth,19,Bundesliga,69,2600000,12000,190,81,SUB,2021-08-16,J. Hoogma,Justin Hoogma,Justin Hoogma,Left,Medium/Medium,Normal (185+),55,Feb,illnesses and infections,other,87,3
Justin Kluivert,330659,22/23,Hamstring injury,2023-04-09,2023-05-05,26,6,23,1999-05-05,34,Netherlands,Roma,31,Serie A,76,11500000,50000,172,66,SUB,2022-09-01,J. Kluivert,Justin Kluivert,Justin Kluivert,Right,High/Medium,Normal (170-185),88,Apr,muscle injuries,other,92,4
Justin Lonwijk,357917,22/23,unknown injury,2023-04-20,2023-05-02,12,2,22,1999-12-21,34,Netherlands,Dynamo Kyiv,332,Premier League,68,2700000,500,189,85,SUB,2022-10-07,J. Lonwijk,Justin Antonius Lonwijk,Justin Lonwijk,Right,High/Medium,Normal (185+),70,Apr,unknown injuries,other,12,1
Kaan Ayhan,119031,21/22,unknown injury,2021-10-31,2021-11-06,6,1,26,1994-11-10,48,Turkey,Sassuolo,31,Serie A,75,6500000,27000,184,84,SUB,2021-08-16,K. Ayhan,Kaan Ayhan,Kaan Ayhan,Right,High/Medium,Normal (170-185),64,Oct,unknown injuries,other,9,2
Kaan Kanak,123527,21/22,unknown injury,2022-01-10,2022-01-21,11,3,30,1990-10-06,48,Turkey,Adana Demirspor,68,Super Lig,68,1000000,7000,180,70,LB,2021-08-16,K. Kanak,Kaan Kanak,Kaan Kanak,Left,High/Medium,Normal (170-185),76,Jan,unknown injuries,defenders,11,1
Kaan Kurt,392154,21/22,Metatarsal fracture,2021-10-02,2022-01-26,116,12,19,2001-12-21,21,Germany,Borussia Mönchengladbach,19,Bundesliga,62,825000,2000,174,69,RES,2021-08-16,K. Kurt,Kaan Kurt,Kaan Kurt,Right,Medium/Medium,Lean (170-185),70,Oct,bone injuries,other,116,1
Kacper Kozlowski,554284,22/23,Ill,2023-02-10,2023-02-14,4,1,18,2003-10-16,37,Poland,Brighton & Hove Albion,13,Premier League,68,3100000,8000,178,68,RES,2022-09-01,K. Kozłowski,Kacper Kozłowski,Kacper Kozłowski,Right,High/Medium,Normal (170-185),73,Feb,illnesses and infections,other,8,2
Kader Keita,658835,22/23,unknown injury,2022-09-29,2022-10-19,20,5,21,2000-11-06,108,Côte d'Ivoire,Sivasspor,68,Super Lig,60,575000,2000,178,75,SUB,2022-09-26,K. Keïta,Kader Keïta,Kader Keïta,Right,Medium/High,Normal (170-185),66,Sep,unknown injuries,other,38,2
Kadir Seven,930056,22/23,unknown injury,2023-01-28,2023-02-26,29,3,19,2003-05-05,48,Turkey,Giresunspor,68,Super Lig,56,325000,1000,184,78,SUB,2022-09-26,K. Seven,Kadir Seven,Kadir Seven,Left,Low/High,Lean (170-185),57,Jan,unknown injuries,other,29,1
Kagan Moradaoglu,649996,22/23,Fitness,2022-10-19,2022-10-23,4,1,19,2003-01-10,48,Turkey,Trabzonspor,68,Super Lig,59,525000,2000,193,84,RES,2022-09-01,K. Moradaoğlu,Kağan Moradaoğlu,Kağan Moradaoğlu,Right,Medium/Medium,Lean (185+),NA,Oct,rest and fitness,other,54,5
Kahraman Demirtas,403834,21/22,unknown injury,2021-11-07,2021-11-26,19,2,27,1994-05-01,48,Turkey,Göztepe,68,Super Lig,64,625000,3000,184,77,SUB,2021-08-16,K. Demirtaş,Kahraman Demirtaş,Kahraman Demirtaş,Left,Medium/Medium,Normal (170-185),65,Nov,unknown injuries,other,19,1
Kai Havertz,309400,22/23,Knee injury,2023-04-24,2023-05-01,7,1,23,1999-06-11,21,Germany,Chelsea,13,Premier League,84,84500000,130000,189,82,LW,2022-09-01,K. Havertz,Kai Lukas Havertz,Kai Havertz,Left,Medium/Medium,Unique,81,Apr,joint and ligament injuries,forwards,26,4
Kaio Jorge,620477,22/23,Fitness,2023-02-15,2023-06-14,119,27,20,2002-01-24,54,Brazil,Juventus,31,Serie A,71,4100000,41000,182,71,RES,2022-09-01,NA,Kaio Jorge Pinto Ramos,Kaio NA,Right,High/Medium,Normal (170-185),77,Feb,rest and fitness,other,512,4
Kaj Sierhuis,315283,21/22,Cruciate ligament tear,2022-02-11,2023-01-01,324,35,23,1998-04-27,34,Netherlands,Reims,16,Ligue 1,68,2700000,10000,180,83,ST,2021-08-16,K. Sierhuis,Kaj Sierhuis,Kaj Sierhuis,Right,Medium/Low,Stocky (170-185),62,Feb,joint and ligament injuries,forwards,341,3
Kalidou Koulibaly,93128,22/23,Hamstring injury,2023-04-12,2023-05-20,38,7,31,1991-06-20,136,Senegal,Chelsea,13,Premier League,87,54500000,175000,187,89,LCB,2022-09-01,K. Koulibaly,Kalidou Koulibaly,Kalidou Koulibaly,Right,Medium/High,Unique,82,Apr,muscle injuries,defenders,79,3
Kalvin Phillips,351749,22/23,Shoulder injury,2022-08-26,2022-11-08,74,18,26,1995-12-02,14,England,Manchester City,13,Premier League,81,32000000,120000,178,72,SUB,2022-09-01,K. Phillips,Kalvin Phillips,Kalvin Phillips,Right,Medium/High,Stocky (170-185),66,Aug,miscellaneous,other,176,2
Kamaldeen Sulemana,746695,22/23,Injury to the ankle,2022-11-02,2022-11-07,5,2,20,2002-02-15,117,Ghana,Rennes,16,Ligue 1,75,12500000,32000,174,69,SUB,2022-09-01,K. Sulemana,Kamaldeen Sulemana,Kamaldeen Sulemana,Right,High/Medium,Lean (170-185),93,Nov,miscellaneous,other,90,3
Kamil Piatkowski,345449,22/23,Calf injury,2023-03-19,2023-04-06,18,2,22,2000-06-21,37,Poland,Salzburg,80,Bundesliga,71,3900000,13000,191,83,SUB,2022-09-01,K. Piątkowski,Kamil Piątkowski,Kamil Piątkowski,Right,High/High,Normal (185+),81,Mar,muscle injuries,other,198,6
Kamory Doumbia,671594,22/23,Muscle injury,2023-05-08,2023-05-28,20,3,19,2003-02-18,126,Mali,Reims,16,Ligue 1,63,1100000,3000,170,53,SUB,2022-09-01,K. Doumbia,Kamory Doumbia,Kamory Doumbia,Right,Medium/Medium,Lean (170-),68,May,muscle injuries,other,20,1
Karamoko Dembele,466602,21/22,Corona virus,2022-01-14,2022-01-31,17,5,18,2003-02-22,14,England,Celtic,50,Premiership,63,1200000,4000,167,59,RES,2021-08-16,K. Dembélé,Karamoko Kader Dembélé,Karamoko Dembélé,Left,High/Medium,Normal (170-),86,Jan,coronavirus,other,230,2
Karim Azamoum,275361,21/22,Cruciate ligament tear,2021-09-23,2022-03-31,189,23,31,1990-01-17,18,France,Troyes,16,Ligue 1,64,400000,4000,178,76,SUB,2021-08-16,K. Azamoum,Karim Azamoum,Karim Azamoum,Right,Medium/High,Normal (170-185),56,Sep,joint and ligament injuries,other,189,1
Karim Bellarabi,61087,22/23,Muscle injury,2023-05-09,2023-05-31,22,5,32,1990-04-08,21,Germany,Bayer 04 Leverkusen,19,Bundesliga,79,14000000,55000,184,81,RM,2022-09-01,K. Bellarabi,Karim Bellarabi,Karim Bellarabi,Right,High/Medium,Normal (170-185),86,May,muscle injuries,midfielders,327,11
Karim Benzema,18922,22/23,Rest,2023-05-12,2023-05-15,3,1,34,1987-12-19,18,France,Real Madrid,53,La Liga,91,64000000,450000,185,81,CF,2022-09-01,K. Benzema,Karim Benzema,Karim Benzema,Right,Medium/Medium,Normal (170-185),80,May,rest and fitness,forwards,156,15
Karim Hafez,333004,21/22,Torn thigh muscle,2021-08-22,2021-09-18,27,4,25,1996-03-12,111,Egypt,Yeni Malatyaspor,68,Super Lig,72,3200000,10000,175,73,LB,2021-08-16,K. Hafez,Karim Hafez Ramadan,Karim Hafez,Left,Medium/Medium,Stocky (170-185),79,Aug,muscle injuries,defenders,27,1
Karim Onisiwo,119234,22/23,Knee problems,2023-02-23,2023-03-10,15,2,30,1992-03-17,4,Austria,FSV Mainz 05,19,Bundesliga,74,4100000,26000,188,88,RS,2022-09-01,K. Onisiwo,Karim Onisiwo,Karim Onisiwo,Right,High/High,Normal (185+),80,Feb,joint and ligament injuries,forwards,38,3
Karim Rekik,182579,22/23,Achilles tendon problems,2023-02-06,2023-04-02,55,11,27,1994-12-02,34,Netherlands,Sevilla,53,La Liga,77,12000000,25000,186,84,LCB,2022-09-01,K. Rekik,Karim Rekik,Karim Rekik,Left,Low/High,Normal (185+),64,Feb,joint and ligament injuries,defenders,187,6
Karl Darlow,99397,22/23,Ankle injury,2022-09-05,2022-11-05,61,7,31,1990-10-08,14,England,Newcastle United,13,Premier League,75,3000000,50000,190,88,RES,2022-09-01,K. Darlow,Karl Darlow,Karl Darlow,Right,Medium/Medium,Normal (185+),NA,Sep,joint and ligament injuries,other,79,2
Karl Toko Ekambi,315110,22/23,Muscle injury,2023-01-06,2023-01-09,3,1,29,1992-09-14,103,Cameroon,Olympique Lyonnais,16,Ligue 1,78,14000000,62000,185,74,LW,2022-09-01,K. Toko Ekambi,Karl Brillant Toko Ekambi,Karl Toko Ekambi,Right,High/Low,Lean (185+),83,Jan,muscle injuries,forwards,3,1
Karol Angielski,253290,22/23,unknown injury,2023-01-15,2023-01-24,9,2,26,1996-03-20,37,Poland,Sivasspor,68,Super Lig,67,1300000,7000,177,70,SUB,2022-09-01,K. Angielski,Karol Angielski,Karol Angielski,Left,High/Medium,Normal (170-185),73,Jan,unknown injuries,other,9,1
Karol Fila,385817,21/22,Adductor injury,2021-10-02,2021-11-05,34,4,23,1998-06-13,37,Poland,Strasbourg,16,Ligue 1,67,1400000,6000,180,72,RB,2021-08-16,K. Fila,Karol Fila,Karol Fila,Right,High/Medium,Normal (170-185),81,Oct,muscle injuries,defenders,34,1
Karol Linetty,225873,22/23,Muscle injury,2022-12-08,2023-01-04,27,1,27,1995-02-02,37,Poland,Torino,31,Serie A,74,4800000,35000,176,73,LF,2022-09-01,K. Linetty,Karol Linetty,Karol Linetty,Right,High/High,Normal (170-185),64,Dec,muscle injuries,forwards,41,3
Kartal Yilmaz,461951,22/23,unknown injury,2023-04-26,2023-05-16,20,2,21,2000-11-04,48,Turkey,Beşiktaş,68,Super Lig,63,1200000,7000,178,67,RDM,2022-09-01,K. Yılmaz,Kartal Kayra Yılmaz,Kartal Yılmaz,Right,Medium/High,Lean (170-185),67,Apr,unknown injuries,midfielders,31,3
Kasper Dolberg,283196,22/23,concussion,2023-03-10,2023-04-06,27,3,24,1997-10-06,13,Denmark,Nice,16,Ligue 1,77,15500000,39000,187,84,SUB,2022-09-01,K. Dolberg,Kasper Dolberg Rasmussen,Kasper Dolberg,Right,High/Medium,Normal (185+),71,Mar,head and neck injuries,other,83,2
Kasper Lunding,345586,21/22,unknown injury,2022-04-07,2022-04-27,20,2,21,1999-07-17,13,Denmark,Heracles Almelo,10,Eredivisie,65,1600000,2000,178,69,SUB,2021-08-16,K. Lunding,Kasper Lunding Jakobsen,Kasper Lunding,Left,Medium/Medium,Lean (170-185),76,Apr,unknown injuries,other,190,2
Kastriot Dermaku,163647,22/23,Hamstring muscle injury,2023-04-22,2023-06-30,69,9,30,1992-01-15,1,Albania,Lecce,31,Serie A,68,1000000,6000,194,89,RCB,2022-09-01,K. Dermaku,Kastriot Dermaku,Kastriot Dermaku,Left,Medium/Medium,Normal (185+),42,Apr,muscle injuries,defenders,277,3
Kayky,668265,21/22,Knee problems,2021-10-01,2021-10-24,23,3,18,2003-06-11,54,Brazil,Manchester City,13,Premier League,66,2700000,12000,173,67,RES,2021-09-23,NA,Kayky da Silva Chagas,Kayky NA,Left,Medium/Low,Lean (170-185),82,Oct,joint and ligament injuries,other,23,1
Kays Ruiz-Atil,538045,21/22,Muscle injury,2021-11-20,2021-11-27,7,2,18,2002-08-26,129,Morocco,FC Barcelona,53,La Liga,66,2200000,10000,173,60,RES,2021-08-16,K. Ruiz-Atil,Kays Ruiz-Atil,Kays Ruiz-Atil,Right,Medium/Medium,Lean (170-185),67,Nov,muscle injuries,other,57,4
Kazimcan Karatas,697149,22/23,Fitness,2023-01-18,2023-01-22,4,1,19,2003-01-16,48,Turkey,Galatasaray,68,Super Lig,64,1200000,6000,182,74,SUB,2022-09-01,K. Karataş,Kazımcan Karataş,Kazımcan Karataş,Left,High/Medium,Lean (170-185),76,Jan,rest and fitness,other,64,6
Keaghan Jacobs,59830,21/22,Knee injury,2021-09-15,2021-12-20,96,15,31,1989-09-09,140,South Africa,Livingston,50,Premiership,62,275000,1000,173,69,SUB,2021-08-16,K. Jacobs,Keaghan Jacobs,Keaghan Jacobs,Right,High/High,Normal (170-185),53,Sep,joint and ligament injuries,other,96,1
Keanan Bennetts,321096,21/22,Corona virus,2021-12-29,2022-01-09,11,1,22,1999-03-09,14,England,Borussia Mönchengladbach,19,Bundesliga,62,900000,4000,179,78,RES,2021-08-16,K. Bennetts,Keanan Bennetts,Keanan Bennetts,Left,High/Medium,Normal (170-185),75,Dec,coronavirus,other,11,1
Keane Lewis-Potter,644401,22/23,Knee injury,2023-03-05,2023-05-02,58,11,21,2001-02-22,14,England,Brentford,13,Premier League,71,4200000,23000,170,67,SUB,2022-09-01,K. Lewis-Potter,Keane Lewis-Potter,Keane Lewis-Potter,Right,High/Medium,Lean (170-),81,Mar,joint and ligament injuries,other,113,3
Keidi Bare,295622,22/23,Ankle ligament tear,2022-12-21,2023-03-19,88,20,24,1997-08-28,1,Albania,Espanyol,53,La Liga,76,10500000,15000,174,66,LDM,2022-09-01,K. Bare,Keidi Bare,Keidi Bare,Right,Medium/Medium,Normal (170-185),75,Dec,joint and ligament injuries,midfielders,182,4
Keinan Davis,412660,22/23,Hamstring injury,2023-04-02,2023-04-14,12,2,24,1998-02-13,14,England,Aston Villa,13,Premier League,72,3600000,45000,191,88,RES,2022-09-01,K. Davis,Keinan Davis,Keinan Davis,Left,Medium/Medium,Stocky (185+),69,Apr,muscle injuries,other,81,3
Keita Balde,238752,21/22,Tonsillitis,2021-10-31,2021-11-15,15,4,26,1995-03-08,136,Senegal,Monaco,16,Ligue 1,76,10000000,48000,181,80,RES,2021-08-16,K. Baldé,Keita Baldé Diao,Keita Baldé,Right,High/Medium,Normal (170-185),91,Oct,illnesses and infections,other,15,1
Keith Watson,27700,21/22,minor knock,2022-03-01,2022-03-17,16,2,31,1989-11-14,42,Scotland,Ross County,50,Premiership,63,325000,2000,184,78,CB,2021-08-16,K. Watson,Keith Watson,Keith Watson,Right,Medium/High,Normal (170-185),50,Mar,bruises and contusions,defenders,16,1
Kelian Nsona,569368,22/23,Knee surgery,2022-10-28,2023-06-30,245,23,20,2002-05-11,18,France,Hertha BSC,19,Bundesliga,64,1400000,5000,189,74,RES,2022-09-01,K. Nsona,Kélian Nsona Wa Saka,Kélian Nsona,Right,Medium/Low,Lean (185+),87,Oct,surgeries,other,721,3
Kelle Roos,123503,22/23,Hamstring injury,2023-01-15,2023-03-16,60,9,30,1992-05-31,34,Netherlands,Aberdeen,50,Premiership,68,800000,3000,196,90,GK,2022-09-01,K. Roos,Kelle Roos,Kelle Roos,Right,Medium/Medium,Normal (185+),NA,Jan,muscle injuries,goalkeepers,60,1
Kelvin Amian,344072,22/23,Injury to abdominal muscles,2022-07-13,2022-10-01,80,8,24,1998-02-08,18,France,Spezia,31,Serie A,74,5500000,13000,180,78,RES,2022-09-01,K. Amian,Kelvin Amian Adou,Kelvin Amian,Right,High/Medium,Normal (170-185),78,Jul,muscle injuries,other,103,2
Kelvin Arase,321048,21/22,Dental surgery,2022-05-20,2022-06-11,22,3,22,1999-01-15,4,Austria,Rapid Vienna,80,Bundesliga,68,2500000,10000,172,62,SUB,2021-08-16,K. Arase,Kelvin Arase,Kelvin Arase,Right,High/Low,Lean (170-185),91,May,surgeries,other,78,3
Kelvin Yeboah,589737,21/22,Corona virus,2021-11-03,2021-11-20,17,3,21,2000-05-06,117,Ghana,Sturm Graz,80,Bundesliga,67,2300000,6000,185,73,RS,2021-08-16,K. Yeboah,Kelvin Kwarteng Yeboah,Kelvin Yeboah,Right,Medium/Medium,Lean (185+),91,Nov,coronavirus,forwards,17,1
Kemar Roofe,141350,22/23,Knee injury,2022-10-24,2023-06-01,220,35,29,1993-01-06,82,Jamaica,Rangers,50,Premiership,73,3000000,44000,178,65,SUB,2022-09-01,K. Roofe,Kemar Roofe,Kemar Roofe,Right,High/Medium,Lean (170-185),79,Oct,joint and ligament injuries,other,442,4
Kenan Karaman,119557,21/22,Corona virus,2022-01-06,2022-01-12,6,1,27,1994-03-05,48,Turkey,Beşiktaş,68,Super Lig,71,2000000,27000,189,83,ST,2021-08-16,K. Karaman,Kenan Karaman,Kenan Karaman,Right,High/High,Lean (185+),68,Jan,coronavirus,forwards,13,2
Kenan Ozer,38195,21/22,Hamstring injury,2022-02-19,2022-03-07,16,4,33,1987-08-16,48,Turkey,Gaziantep F.K.,68,Super Lig,65,450000,4000,170,62,RES,2021-08-16,K. Özer,Kenan Özer,Kenan Özer,Right,Medium/Low,Lean (170-),72,Feb,muscle injuries,other,41,3
Kenedy,281404,22/23,Torn muscle bundle,2023-01-15,2023-03-25,69,9,26,1996-02-08,54,Brazil,Chelsea,13,Premier League,76,9000000,81000,182,77,RES,2022-09-01,NA,Robert Kenedy Nunes do Nascimento,Robert NA,Left,High/High,Normal (170-185),77,Jan,muscle injuries,other,156,2
Kenneth Paal,247596,21/22,unknown injury,2022-01-20,2022-02-18,29,5,24,1997-06-24,34,Netherlands,PEC Zwolle,10,Eredivisie,71,2800000,6000,174,70,LB,2021-08-16,K. Paal,Kenneth Paal,Kenneth Paal,Left,High/Medium,Normal (170-185),83,Jan,unknown injuries,defenders,72,2
Kenneth Taylor,470394,22/23,Knock,2022-10-15,2022-10-25,10,2,20,2002-05-16,34,Netherlands,Ajax,10,Eredivisie,73,7500000,10000,182,70,LCM,2022-09-01,K. Taylor,Kenneth Ina Dorothea Taylor,Kenneth Taylor,Left,Medium/Medium,Normal (170-185),76,Oct,bruises and contusions,midfielders,10,1
Kenny Tete,206746,22/23,Knock,2022-09-29,2022-10-29,30,6,26,1995-10-09,34,Netherlands,Fulham,13,Premier League,74,4800000,41000,180,71,RB,2022-09-01,K. Tete,Kenny Joelle Tete,Kenny Tete,Right,Medium/Medium,Normal (170-185),75,Sep,bruises and contusions,defenders,30,1
